Phenotype	Distance_to	P_value	Meadian_Tumor	Meadian_Stroma	Group_major
CD68+	CD8+	0.9764355997455338	-0.19752762988432396	-0.20754777714039668	Tumor
CD68+	FoxP3+	0.9459429620659799	-0.20901243821814572	-0.23171517180814902	Tumor
CD68+	CK+	0.9396944636993689	-0.15009514644260674	-0.1415897218176467	Stroma
CD8+	CD68+	0.8785957198728541	-0.1875603017996351	-0.2303449901898141	Tumor
CD8+	FoxP3+	0.7535822749249002	-0.18571366035138398	-0.239224042709697	Tumor
CD8+	CK+	0.9844624431114859	-0.15554794183469856	-0.16962277082690072	Tumor
FoxP3+	CD68+	0.826358350069922	-0.24795266479486816	-0.23259381316962077	Stroma
FoxP3+	CD8+	0.9993481704216861	-0.21106618088987975	-0.2271097193459935	Tumor
FoxP3+	CK+	0.9614037517472005	-0.08666497244246571	-0.10756006106495303	Tumor
CK+	CD68+	0.9408081928558704	-0.199527175302018	-0.23342032058862605	Tumor
CK+	CD8+	0.8987115676548499	-0.17792175906732038	-0.2196991172325295	Tumor
CK+	FoxP3+	0.6048186025330138	-0.12819562069320917	-0.23844249991047106	Tumor
