2024-03-25_08-54-43.64 | INFO | Welcome to ALOA
2024-03-25_08-54-43.64 | INFO | aloa.py args: [merge:True, mapping:False, distance:True, img_match:False, dst_match:False, overview:True, stats:True, cluster:False, all:False]
2024-03-25_08-54-43.64 | INFO | |-> Merge step starting now
2024-03-25_08-54-52.46 | INFO | |-> Clean step starting now
2024-03-25_08-54-57.25 | INFO | |-> Descriptive step starting now

2024-03-25_08-54-57.25 | INFO | Start overview process: This step will give a description of input data and, if more than one group is involved, will also provide a statistical comparison for all the listed phenotypes

2024-03-25_08-54-57.25 | INFO | Reading configuration file
2024-03-25_08-54-57.25 | INFO | Merge data found in ./output/Merged_clean
2024-03-25_08-54-57.25 | INFO | Descriptive output will be stored in ./output/Descriptive
2024-03-25_08-54-57.25 | INFO | The following phenotypes will be considered: ['CD68+', 'CD8+', 'FoxP3+', 'CK+']
2024-03-25_08-54-57.25 | INFO | Start raw count calculation:
2024-03-25_08-54-57.25 | INFO | Subject: Set8_11-6plex_T
2024-03-25_08-54-57.31 | INFO | Reading File ./output/Merged_clean/Tumor/Merge_cell_seg_data_clean_Set8_11-6plex_T.txt
2024-03-25_08-54-57.31 | INFO | Subject: Set4_1-6plex_T
2024-03-25_08-54-57.37 | INFO | Reading File ./output/Merged_clean/Tumor/Merge_cell_seg_data_clean_Set4_1-6plex_T.txt
2024-03-25_08-54-57.37 | INFO | Subject: Set12_20-6plex_T
2024-03-25_08-54-57.46 | INFO | Reading File ./output/Merged_clean/Tumor/Merge_cell_seg_data_clean_Set12_20-6plex_T.txt
2024-03-25_08-54-57.46 | INFO | Subject: Set4_1-6plex_S
2024-03-25_08-54-57.49 | INFO | Reading File ./output/Merged_clean/Stroma/Merge_cell_seg_data_clean_Set4_1-6plex_S.txt
2024-03-25_08-54-57.49 | INFO | Subject: Set8_11-6plex_S
2024-03-25_08-54-57.52 | INFO | Reading File ./output/Merged_clean/Stroma/Merge_cell_seg_data_clean_Set8_11-6plex_S.txt
2024-03-25_08-54-57.52 | INFO | Subject: Set12_20-6plex_S
2024-03-25_08-54-57.54 | INFO | Reading File ./output/Merged_clean/Stroma/Merge_cell_seg_data_clean_Set12_20-6plex_S.txt
2024-03-25_08-54-57.54 | INFO | End raw count calculation
2024-03-25_08-54-57.54 | INFO | 2 group(s) found: ['Tumor', 'Stroma']
2024-03-25_08-54-57.54 | INFO |  Created folder ./output/Descriptive/Tumor
2024-03-25_08-54-57.54 | INFO |  Created folder ./output/Descriptive/Stroma
2024-03-25_08-54-57.54 | INFO | writing csv file with count info for each patient
2024-03-25_08-54-57.54 | INFO | Group: Tumor
2024-03-25_08-54-57.54 | INFO | Subject: Set8_11-6plex_T
2024-03-25_08-54-57.54 | INFO | Start Writing csv file...
2024-03-25_08-54-57.54 | INFO | End Writing ./output/Descriptive/Tumor/csv/Raw_count_Set8_11-6plex_T.csv file for Set8_11-6plex_T patient
2024-03-25_08-54-57.54 | INFO | Subject: Set4_1-6plex_T
2024-03-25_08-54-57.54 | INFO | Start Writing csv file...
2024-03-25_08-54-57.54 | INFO | End Writing ./output/Descriptive/Tumor/csv/Raw_count_Set4_1-6plex_T.csv file for Set4_1-6plex_T patient
2024-03-25_08-54-57.54 | INFO | Subject: Set12_20-6plex_T
2024-03-25_08-54-57.54 | INFO | Start Writing csv file...
2024-03-25_08-54-57.54 | INFO | End Writing ./output/Descriptive/Tumor/csv/Raw_count_Set12_20-6plex_T.csv file for Set12_20-6plex_T patient
2024-03-25_08-54-57.54 | INFO | Group: Stroma
2024-03-25_08-54-57.54 | INFO | Subject: Set4_1-6plex_S
2024-03-25_08-54-57.54 | INFO | Start Writing csv file...
2024-03-25_08-54-57.54 | INFO | End Writing ./output/Descriptive/Stroma/csv/Raw_count_Set4_1-6plex_S.csv file for Set4_1-6plex_S patient
2024-03-25_08-54-57.55 | INFO | Subject: Set8_11-6plex_S
2024-03-25_08-54-57.55 | INFO | Start Writing csv file...
2024-03-25_08-54-57.55 | INFO | End Writing ./output/Descriptive/Stroma/csv/Raw_count_Set8_11-6plex_S.csv file for Set8_11-6plex_S patient
2024-03-25_08-54-57.55 | INFO | Subject: Set12_20-6plex_S
2024-03-25_08-54-57.55 | INFO | Start Writing csv file...
